,Job_Titile,Job_URL,Company_URL,Company,Rating,Job_Tyoe,Job_description,Post_Date,City,State,ZipCode,Min_salary,Max_salary
1455,UI Software Development Intern (Winter/Spring 2023),https://www.indeed.com/rc/clk?jk=ef00e02de4e3c9dd&fccid=8e0192a48bd27a99&vjs=3,https://www.indeed.com/cmp/Formlabs,Formlabs,3.7,"Full-time
+1",Experience working on user interfaces for shipping software applications.,11/14/22,West Greenwich,RI,2817,68641.78181076673,99835.17476732162
1456,Vehicle Engineering - Software Engineering Internship (Summer 2023),https://www.indeed.com/rc/clk?jk=3a1a6135228631e8&fccid=86e9be6ce380173e&vjs=3,https://www.indeed.com/cmp/Tesla,Tesla,3.4,"Part-time
+2","As a software engineering intern in Vehicle Engineering, you will accelerate the pace of innovation, from design to production.",12/01/22,Lake Orion,MI,48362,70500.0,89300.0
1457,"Software Engineer Intern, 2023 Summer U.S.",https://www.indeed.com/rc/clk?jk=3306b5c7b5302ac3&fccid=e6d4ba9e2cfe7902&vjs=3,https://www.indeed.com/cmp/Atlassian,Atlassian,4.4,"Full-time
+1","Have experience with software engineering, expressed by previous internships, work experience, projects, or publications.",11/14/22,San Francisco,CA,94134 ,48200.0,61100.0
1459,"Software Engineering Internship, Diagnostics (Spring 2023)",https://www.indeed.com/rc/clk?jk=767aa16aec11ca6a&fccid=86e9be6ce380173e&vjs=3,https://www.indeed.com/cmp/Tesla,Tesla,3.4,"Full-time
+3",Our vision is to have a diagnostic strategy and software that ensures our vehicles do not have to come to service for diagnosis.,11/28/22,Boston,MA,02109 ,68500.0,86700.0
1463,2023 Software Engineer Program - Summer Internship Opportunities,https://www.indeed.com/rc/clk?jk=8be3f3e0cbfec133&fccid=aaf3b433897ea465&vjs=3,https://www.indeed.com/cmp/Chase-2,"JPMorgan Chase Bank, N.A.",3.8,"Full-time
+1",Relevant internship experience and/or leadership in school or community organizations.,,Providence,RI,02903 ,68641.78181076673,99835.17476732162
1464,2023 Internship: Backend Developer,https://www.indeed.com/rc/clk?jk=28541f5dcdc4ad8d&fccid=de71a49b535e21cb&vjs=3,https://www.indeed.com/cmp/IBM,IBM,3.9,"Full-time
+2",Have a basic understanding of software development and programming languages.,12/08/22,Denver,CO,80207 ,72200.0,91400.0
1467,"Software Engineer, Intern",https://www.indeed.com/rc/clk?jk=d4931e88072c35e4&fccid=4ad12104a44e9eb6&vjs=3,https://www.indeed.com/cmp/Circle,Circle,3.7,Internship,"Experience in the deployment of production-quality, scalable software.",12/01/22,Hartford,CT,06105 ,58400.0,7400.0
1468,Software Dev Engineer Intern (Summer 2023),https://www.indeed.com/rc/clk?jk=d17245ba8f2bd57c&fccid=fe2d21eef233e94a&vjs=3,https://www.indeed.com/cmp/Amazon.com,"Amazon Dev Center U.S., Inc.",3.5,"Full-time
+1",Our interns write real software and collaborate with a select group of experienced software development engineers (SDEs) who guide interns on projects that…,11/14/22,Boston,MA,02110 ,68641.78181076673,99835.17476732162
1472,"Software Engineer Intern, 2023 Summer U.S.",https://www.indeed.com/rc/clk?jk=3306b5c7b5302ac3&fccid=e6d4ba9e2cfe7902&vjs=3,https://www.indeed.com/cmp/Atlassian,Atlassian,4.4,"Full-time
+1","Have experience with software engineering, expressed by previous internships, work experience, projects, or publications.",11/14/22,Marlborough,MA,01752 ,48200.0,61100.0
1473,Onshape R&D Software Engineering Intern (RCO),https://www.indeed.com/rc/clk?jk=a61ed87893e6aade&fccid=114d7031274e1ed8&vjs=3,https://www.indeed.com/cmp/Ptc-c5e4d329,PTC Inc.,3.7,Internship,"Develop software (product, software tools or data analysis) to prevent, detect and diagnose issues.",12/10/22,West Greenwich,RI,2817,39500.0,5000.0
1474,"Software Engineering Internship, Diagnostics (Spring 2023)",https://www.indeed.com/rc/clk?jk=767aa16aec11ca6a&fccid=86e9be6ce380173e&vjs=3,https://www.indeed.com/cmp/Tesla,Tesla,3.4,"Full-time
+3",Our vision is to have a diagnostic strategy and software that ensures our vehicles do not have to come to service for diagnosis.,11/28/22,Lake Orion,MI,48362,68500.0,86700.0
1475,Software Engineering Summer Intern,https://www.indeed.com/rc/clk?jk=6008063d44b7811e&fccid=1b567d66763b30ee&vjs=3,https://www.indeed.com/cmp/Pegasystems,Pegasystems,3.6,"Part-time
+1","Work collaboratively with team members to design, develop, test, and document features, including the design and development of high-quality software.",11/14/22,San Francisco,CA,94134 ,34700.0,43900.0
1477,Summer 2023 Intern - Software Engineer (Tableau),https://www.indeed.com/rc/clk?jk=c15d6b115e30fce1&fccid=4027cfd917e1ee29&vjs=3,https://www.indeed.com/cmp/Salesforce,Salesforce,4.4,"Full-time
+1","Work closely with a team of engineers, product managers, user experience experts and performance engineers to build new features our customers will love, adopt…",11/14/22,Boston,MA,02109 ,68641.78181076673,99835.17476732162
1478,2023 Software Engineer Program - Summer Internship Opportunities,https://www.indeed.com/rc/clk?jk=8be3f3e0cbfec133&fccid=aaf3b433897ea465&vjs=3,https://www.indeed.com/cmp/Chase-2,"JPMorgan Chase Bank, N.A.",3.8,"Full-time
+1",Relevant internship experience and/or leadership in school or community organizations.,,South Paris,ME,4281,68641.78181076673,99835.17476732162
1482,"Software Engineer, Intern",https://www.indeed.com/rc/clk?jk=d4931e88072c35e4&fccid=4ad12104a44e9eb6&vjs=3,https://www.indeed.com/cmp/Circle,Circle,3.7,Internship,"Experience in the deployment of production-quality, scalable software.",12/01/22,Denver,CO,80207 ,58400.0,7400.0
1484,Software Engineer Intern - Undergrad,https://www.indeed.com/rc/clk?jk=863fdc1d665c84b4&fccid=69c7d55b78dc7424&vjs=3,https://www.indeed.com/cmp/Proofpoint,Proofpoint,3.6,"Full-time
+1",At Proofpoint we are concerned with protecting our customers from threat and data loss.,12/12/22,Grand Island,NE,68801,4800.0,60700.0
1485,UI Software Development Intern (Winter/Spring 2023),https://www.indeed.com/rc/clk?jk=ef00e02de4e3c9dd&fccid=8e0192a48bd27a99&vjs=3,https://www.indeed.com/cmp/Formlabs,Formlabs,3.7,"Full-time
+1",Experience working on user interfaces for shipping software applications.,11/14/22,Hartford,CT,06105 ,68641.78181076673,99835.17476732162
