Company_Id,Job ID,Job Position Name,Posted Date,Location,url
C0000258,R0006625,Store Manager,3/25/2019,"Sebastian, FL",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Clinton Township-MI/Floating-Store-Manager---Oakland-Macomb-County_R0006789-1
C0000258,R0006674,Store Manager,3/25/2019,"Sarasota, FL",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Sacramento-CA/Customer-Service-Support-I---Retail_R0006733-1
C0000258,R0005820,Customer Sales & Service Associate –7294,3/25/2019,,https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Hemet-CA/Sales---Service-Specialist---232-Hemet_R0006734-1
C0000258,R0006007,Customer Service Represenative 5909,3/25/2019,"Sterling Heights, MI",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Waterford-MI/Part-Time-Sales-and-Service-Associate---5907-Waterford--_R0006735-1
C0000258,R0005931,Customer Service Representative -7114,3/25/2019,"Ionia, MI",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Michigan-Remote/Field-Management-II_R0006719-1
C0000258,R0006254,"Customer Service Representative 2368 Mobile, AL",3/25/2019,"Mobile, AL",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Aurora-IL/Store-Manager--Hourly--808--Aurora-East_R0006707-1
C0000258,R0005948,Customer Service Representative Part-Time OKC metro,3/25/2019,"Oklahoma City, OK",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/R0006414  /Customer-Service-Rep---4202_Posted30DaysAgo-1
C0000258,R0005896,Customer Service Representative,3/25/2019,"Ocala, FL",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/R0006387  /Customer-Service-Representative---5584_Posted30DaysAgo-1
C0000258,R0006118,Customer Service Representative,3/25/2019,"Sebastian, FL",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Largo-FL/Customer-Service-Representative_R0006580-1
C0000258,R0005878,Customer Service Support Rep I,3/25/2019,"Richmond, VA, More...",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Ponca City-OK/Customer-Service-Specialist-2340_R0006550-1
C0000258,R0005879,Customer Service Support Rep I,3/25/2019,"Charlottesville, VA",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/York-SC/Customer-Service-Support_R0006526-1
C0000258,R0005887,Customer Service Support Rep I,3/25/2019,"Lynchburg, VA",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/R0006325  /Store-Manager-Round-Lake-Beach-820_Posted30DaysAgo-1
C0000258,R0006013,Monroe - Sales and Service Specialist,3/25/2019,,https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Hallandale-FL/Store-Manager_R0006610-1
C0000258,R0006012,Oregon - Sales and Service Specialist,3/25/2019,,https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Port Saint Lucie-FL/Store-Manager_R0006612-1
C0000258,R0006016,Riverview - Sales and Service Specialist,3/25/2019,,https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Sebastian-FL/Store-Manager_R0006625-1
C0000258,R0005993,"Sales & Service Rep l, Crystal Lake-841",3/25/2019,,https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Sarasota-FL/Store-Manager_R0006674-1
C0000258,R0005963,Sales & Services Specialist-805-Niles,3/25/2019,"Niles, IL",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/R0005820  /Customer-Sales---Service-Associate--7294_Posted30DaysAgo-1
C0000258,R0006237,"Sales and Service Specialist - Dodge City, KS",3/25/2019,"Dodge City, KS",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Sterling Heights-MI/Customer-Service-Represenative-5909_R0006007-1
C0000258,R0006202,"Sales and Service Specialist - Garden City, KS",3/25/2019,,https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Ionia-MI/Customer-Service-Representative--7114_R0005931-1
